name,id,idx,Y,M,O
Andalucía,4109101,2309,0.72,0.96,4.32
Aragón,5029702,2825,0.48,0.64,2.88
Principado de Asturias,3304411,1929,0.12,0.16,0.72
Illes Balears,0704002,314,0.12,0.16,0.72
Canarias,3803802,2141,0.12,0.16,0.72
Cantabria,3907502,2193,0.12,0.16,0.72
Castilla y León,4718601,2678,2.4,3.2,14.4
Castilla-La Mancha,4516801_AD,2493,1.8,2.4,10.8
Cataluña,0801902,360,2.4,3.2,14.4
Comunitat Valenciana,4625001,2628,0.96,1.28,5.76
Extremadura,1003704,630,0.48,0.64,2.88
Galicia,1507805,947,0.24,0.32,1.44
Comunidad de Madrid,2807901,1573,6,8,36
Región de Murcia,3003002,1767,0.12,0.16,0.72
Comunidad Foral de Navarra,3120101,1821,0.48,0.64,2.88
País Vasco,0105901,10,0.36,0.48,2.16
La Rioja,2608903,1455,0.48,0.64,2.88
Ceuta,5100101,2838,0.012,0.016,0.072
Melilla,5200102,2845,0.012,0.016,0.072
